BP_Code,Name,lat,lng
V000572,BT Goh Family Clinic & Surgery,1.3309630000000001,103.8581751
V000536,Bulacan Medical Centre,12.879721,121.774017
V000451,C &C Scientific (S) Pte Ltd,1.4376928,103.8427667
V000462,C&R Interiors Pte Ltd,1.347404,103.8926909
V000508,Cake Avenue Pte Ltd,1.3412998,103.7724437
V000598,Calrose Medical Pte Ltd,1.4022717,103.8920634
V000031,Caltek Pte Ltd,1.3851545,103.8282377
V000032,Cambridge Healthtech Institute,42.2998794,-71.2210086
V000550,Campers' Corner Outdoor Outfitters Pte Ltd,1.3070789999999999,103.8474177
V000351,Canon Singapore Pte Ltd,1.2999207,103.7882673
V000459,Canvio Sdn Bhd,3.1225153,101.4605124
V000207,Capita Pte Ltd,1.2782298,103.8509732
V000529,CapitaLand Voucher Pte. Ltd.,1.2775522,103.8475172
V000680,Carnival Wiz Pte Ltd,1.3675314,103.8904558
V000713,Caterco Concepts Pte. Ltd.,1.332744,103.7078872
V000237,CCMD Pte Ltd,1.3017026999999999,103.8544208
V000578,Celine Low Jie Xiu,1.3640079,103.9630076
V000408,Cellbae Pte. Ltd.,1.3039764,103.7925538
V000605,Center for Advanced Reproductive Services,41.7068475,-72.8001611
V000033,Central Creation Group Pte Ltd,1.2990138,103.8499666
V000485,CERT Consultancy Group Pte Ltd,1.3584498,103.8336633
V000429,Chab Pte Ltd,1.2817661,103.821191
V000556,Chan Mei Yee,1.3190979999999999,103.8852646
V000577,Chan Thien My Translation & Consulting,10.8130957,106.6685061
V000513,Charlton Media Group Pte Ltd,1.2811803,103.8495012
V000311,Charter Solutons (S) Pte Ltd,1.3320391,103.8916709
V000267,Charterhouse Pte Ltd,1.2858682,103.8522896
V000289,Chem-Impex Int'l. Inc,41.9813003,-87.9664569
V000034,Chemoscience Pte Ltd,38.6785157,-121.7732971
V000023,Chemoscience Pte Ltd (Do not use),1.3367179999999999,103.75254
V000626,Cheng Clinic,1.3675155,103.8559096
V000520,Cheong Family Clinic Pte Ltd,1.3155499,103.8508082
V000166,Chilli Api Catering Pte Ltd,1.336137,103.946789
V000590,Chimera Flux (S) Pte Ltd,1.3267598999999999,103.8764749
V000035,Chokim Scientific (S) Pte Ltd,1.3364167999999998,103.755683
V000493,CHP Law LLC,1.282984,103.8505203
V000600,Chromatix Pty Ltd,-37.8249494,145.0813386
V000573,Chua Medico Clinic LLP,1.3728173,103.8557469
V000458,Chuangtouhui （Beijing）Management & Consultant Co. Ltd,35.86166,104.195397
V000036,Chubb Insurance Singapore Limited,1.2818046,103.8501135
V000163,Chubb Insurance Singapore Limited,1.2819014,103.8499385
V000255,Clara Song,1.2965124000000001,103.8568162
V000589,Clarivate Analytics (UK) Ltd,51.501441,-0.1042848
V000256,Cleanstat Pte Ltd,1.3717963,103.8477804
V000641,Clementi Family Healthpoint Clinic & Surgery,1.3210523,103.7668437
V000403,Clickr Media Pte. Ltd.,1.291073,103.8253783
V000473,Clifford Law LLP,1.2911845,103.8512167
V000051,Cobridge Co Ltd,35.6837559,139.7389774
V000234,Colour OK,1.3004038,103.8511253
V000604,Comfort Design Pte Ltd,1.3230369,103.8972404
V000500,Commissioning Agents International Singapore Pte Ltd,1.264218,103.820358
V000633,Compassage Design Pte Ltd,1.3407737,103.8578127
V000242,Conflo Marketing Pte Ltd,1.3264632,103.896365
V000349,Cornerstone International Group,1.283529,103.852003
V000668,Creme Maison Bakery,1.3343276,103.8897339
V000580,Crescendas Bionics Pte Ltd,1.3392461,103.8878472
V000165,CT Venture Pte Ltd,1.3080848,103.880837
V000455,D Squared Technology Pte Ltd,1.3152337,103.8779085
V000385,Daiohs Singapore Pte Ltd,1.2819475,103.8195886
V000711,Daito Asia Development (Malaysia) II Sdn Bhd,3.1352695,101.6862389
V000308,Dangerous Goods Management (Singapore) Pte Ltd,1.314198,103.73023
V000402,Daniel Peter Headon,-37.924436299999996,145.0092506
V000512,Datasite Singapore Pte. Ltd.,1.2827465,103.8530569
V000170,Definitive Communications,1.3532036,103.8356195
V000167,Deli Hub Catering Pte Ltd,1.332744,103.7078872
V000268,Deliveroo Singapore Pte Ltd,1.2773233,103.8437214
V000675,Dell Global B.V. (Singapore Branch),1.3297735,103.747142
V000346,Dentons Rodyk & Davidson LLP,1.2852183,103.8511746
V000592,DG Packaging Pte Ltd,1.3804581,103.9766755
V000168,DH RegSys Consulting Pte Ltd,1.3371117,103.7597177
V000040,DHL Express (Singapore) Pte Ltd,1.352083,103.819836
V000299,DHL Global Forwarding (Singapore) Pte Ltd,1.3315774,103.9649525
V000169,Digital Player Technology Co Ltd,23.69781,120.960515
V000405,Discovery Reports Group,22.2769455,114.1745433
V000041,DKSH Singapore Pte Ltd,1.2862312999999999,103.8280434
V000386,Donaldson and Burkinshaw LLP,1.2838275000000001,103.8522953
V000401,Dorothy Pang Syn-yen,1.352083,103.819836
V000331,Dots Technology & Trading,1.3439082,103.7533573
V000042,Dou Yee Enterprises (S) Pte Ltd,1.3373651,103.9165244
V000195,Double Confirm Inc Pte Ltd,1.3329241,103.8940057
V000659,Dr Wong Seng Weng,1.3044544,103.8360724
V000654,Dr. Holger Heyn,40.463667,-3.74922
V000043,Dropbox International Unlimited Company,53.3337421,-6.261739
V000426,DSV Air & Sea Singapore Pte Ltd,1.3517806,103.9726861
V000437,DSV Air & Sea Singapore Pte Ltd,1.3517806,103.9726861
V000597,DTAP Clinics Pte Ltd,1.3063434,103.8318606
V000635,Duane Morris & Selvam LLP,1.2842276,103.8525038
V000544,Duxton Medical Pte Ltd,1.277251,103.8431691
V000399,Dynamic Nexus Pte Ltd,1.278027,103.8479839
V000432,"Dynamic Pharma Co., Ltd.",11.5419576,104.9227334
V000692,Early Ascent Pte Ltd,1.3059064999999999,103.8314983
V000317,Eatz Catering Services Pte Ltd,1.3371321,103.9461808
V000277,EBC Connect Pte Ltd,1.2754207,103.8456133
V000044,EBD Gmbh,47.1813139,8.5190122
V000612,Ebenex Pte. Ltd.,1.2918775999999998,103.8500267
V000171,Ecreative Catering,1.4484699,103.809484
V000710,EDSA Shangri-La,14.5825685,120.9841667
V000335,Elc Group,1.352083,103.819836
V000377,ELC Group s.r.o.,51.165691,10.451526
V000045,Eleven Electrical Consultancy,1.346241,103.7456853
V000424,"Elite Communication Group, Inc",42.1407738,-87.8573592
V000621,Eloquent Enterprise Pte Ltd,1.278027,103.8479839
V000292,Elpro Pte Ltd,1.328382,103.752966
V000562,Elsevier BV,52.393269599999996,4.8374263
V000623,Emeritus Institute of Management Pte Ltd,1.273228,103.8448952
V000303,Enetiq Asia,1.2753049,103.8135023
V000607,Epiphanies Creatives,1.3273167,103.9245068
V000497,EPI-USE Singapore Pte Ltd,1.2870608,103.8470436
V000587,Eric A & Thoa Kim Finkelstein,1.308584,103.8384426
V000046,Esco Micro Pte Ltd,1.3380041,103.9711248
V000543,Etern Medical Group Pte Ltd,1.3915208,103.8760834
V000047,Exploit Technologies Pte Ltd,1.3033934999999999,103.79256
V000588,EY Corporate Advisors Pte. Ltd.,1.281142,103.851928
V000440,Fabupack Pte Ltd,1.3165889,103.8665885
V000393,Falco biosystems Ltd,35.0139917,135.7687229
V000519,Family Medicine Clinic @ Chinatown Pte Ltd,1.28535,103.845069
V000468,Farmwork Pte Ltd,1.298496,103.851496
V000343,FastColours LLP,53.5867612,-1.6281833
V000253,Favor International Pte Ltd,1.3318083,103.8970473
V000048,Federal Express (Singapore) Pte Ltd,1.3010685,103.8626788
V000049,Feinberg Hanson LLP,42.3488605,-71.0829719
V000431,Fischer Bell Private Ltd,1.311175,103.752811
V000504,Fisher Scientific Pte Ltd,1.4402935000000001,103.7833214
V000020,Fortune Talks Pte Ltd,1.280181,103.8414971
V000172,Fostre Catering,1.4629971,103.8142723
V000190,Freight Links Express Ptd Ltd,1.3106162000000001,103.7352522
V000484,From The Pan,1.4052145,103.8994913
V000052,FujiFilm Business Innovation Singapore Pte Ltd,1.2750523999999999,103.7989175
V000257,Fullerton Healthcare Group Pte Ltd,1.2795063,103.8489686
V000279,Futaba Houmu Gyouseishoshi Jimusho,1.352083,103.819836
V000596,FWD Singapore Pte Ltd,1.29475,103.860023
V000173,Gaia Science Pte Ltd,1.2760918,103.7954127
V000366,Gamut,1.2873156,103.8340344
